Date,Obs,BV,TV,OS,BE,NH,SS,CH,NG,RS,BW,RT,RL,SW,FH,GE,AK,ML,PG,PR,MK,UA,UB,UF,UE,UR,TOTAL
1983-08-15,3.42,,,,,,,,,,,7,,,,,,,,,,,,,,,7
1983-08-16,7.17,,,,,,,,,,,5,,,,,,,,,,,,,,,5
1983-08-17,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,0
1983-08-18,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,0
1983-08-19,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,0
1983-08-20,7.83,,,,,1,1,1,,,,3,,,,,,,,,,,,,,,6
1983-08-21,4.92,,,,,,,,1,,,3,,,,3,,,,,,,,,,,7
1983-08-22,9.25,,,,,,,,,,,8,,,,,,1,,1,,,,,,,10
1983-08-23,9.50,,,,,1,,,,,,8,,,,3,3,,,,,,,,,3,18
1983-08-24,9.50,,,,,1,,1,,,,32,,,,1,5,1,,2,,1,,,,2,46
1983-08-25,10.00,,,,,3,1,,,,,37,,1,,7,4,,,2,,1,,,,1,57
1983-08-26,10.00,,2,,,1,,2,,,,24,,1,,2,5,,,1,,,1,,,3,42
1983-08-27,9.67,,1,,,,1,1,,,,29,,1,,2,1,,,,,3,1,,,1,41
1983-08-28,10.00,,,,,,6,4,,,,38,,,,,9,,,3,,2,2,1,,1,66
1983-08-29,9.50,,,,,1,2,2,,,,39,,2,,9,17,,,,,,,1,,5,78
1983-08-30,9.33,,,,,1,3,2,,,,35,,1,,5,14,,,1,,1,,,,3,66
1983-08-31,8.00,,1,1,,1,2,2,,,,14,,1,,2,4,,,,,,1,,,3,32
1983-09-01,9.00,,,,,1,5,5,,,,24,,3,,7,14,1,,1,,4,2,,,4,71
1983-09-02,8.33,,,,,,2,,,,,7,,,,,4,,,,,,,,,,13
1983-09-03,4.58,,,,,,,,,,,4,,,,,2,,,,,,,,,,6
1983-09-04,9.45,,1,,,1,14,7,,,1,38,,2,,4,7,,,,,3,3,,,5,86
1983-09-05,10.40,,2,,,1,11,9,1,,,34,,2,,4,12,,,3,,4,2,,,10,95
1983-09-06,10.00,,3,2,,,13,10,,,,28,,,,,15,,,,,3,5,1,,3,83
1983-09-07,10.00,,,2,,3,27,17,,,,33,,1,,8,40,,,,,14,3,,,8,156
1983-09-08,9.00,,2,3,,1,17,18,1,,,11,,,,3,10,,,,,7,1,,,6,80
1983-09-09,9.33,,,,,4,28,5,,,,2,,,,4,24,,,1,,7,,,,,75
1983-09-10,9.40,,5,1,,2,57,17,1,,,25,,,,2,12,,,,,6,1,,,7,136
1983-09-11,9.38,,1,,,,46,37,2,,,9,,,,1,36,,,,,2,,,,2,136
1983-09-12,8.58,,1,,,,22,32,,,,7,,,,2,7,,,,,3,1,,,4,79
1983-09-13,9.00,,,3,,4,85,79,,,,11,,,,4,34,,,1,,8,2,,,10,241
1983-09-14,9.87,,2,4,,,42,33,,,,1,,,,6,27,,,3,,7,2,,,7,134
1983-09-15,9.50,,1,2,,3,58,39,2,,,9,,,,4,21,,,1,,10,,,,9,159
1983-09-16,10.00,,5,4,,,89,92,,,,17,,,,6,58,,,,,19,8,,,11,309
1983-09-17,11.25,,2,,,3,57,97,,,,12,,,,6,79,,,1,,21,4,,,35,317
1983-09-18,9.08,,1,,,,26,26,,,,8,,1,,1,30,,,,,11,1,2,,20,127
1983-09-19,9.08,,4,,,2,13,12,,,,8,,,,3,2,,,,,1,,,,6,51
1983-09-20,8.13,,7,5,,,13,16,1,,,20,,3,,1,,,,1,,6,5,,,9,87
1983-09-21,9.50,,,3,,1,26,33,,,2,9,,,,1,1,,,,,7,,,,9,92
