DAY,MO,YR,HRS,OBS,TUVU,BLVU,OSPR,BAEA U,BAEA I,BAEA A,NOHA,SSHA,COHA,NOGO,RSHA,BWHA,SWHA,RTHA,RLHA,GOEA U,GOEA I,GOEA A,AMKE,MERL,PEFA,GYRF,MIKI,STKI,UNID ACCIPITER,UNID BUTEO,UNID EAGLE,UNID FALCON,UNID RAPTOR,RAPTORS,OBSERVERS
30,9,1934,3,4,15,0,1,0,0,1,2,102,2,0,0,2,0,2,0,0,0,0,0,0,1,0,,,,,,,,128,"Broun_M, Paugh_D, other, other, "
7,10,1934,4,10,15,0,10,0,0,1,2,47,15,0,1,1,0,4,0,0,0,1,6,0,0,0,,,,,,,,103,"Broun_M, DVOC, "
8,10,1934,9,1,7,0,3,0,2,0,1,126,42,0,0,0,0,4,0,0,0,0,1,3,3,0,,,,,,,,192,"Broun_M, "
11,10,1934,9,1,1,0,3,0,0,0,6,135,36,24,7,0,0,30,0,0,1,0,2,6,4,0,,,,,,,,256,"Broun_M, Kramer, French_C, "
12,10,1934,9,4,5,0,0,0,1,1,3,87,34,23,3,0,0,205,1,0,2,0,1,0,2,1,,,,,,,,369,"Broun_M, French_C, "
13,10,1934,9,3,3,0,0,1,2,0,0,18,4,19,4,0,0,73,0,0,0,0,0,0,1,0,,,,,,,,125,"Broun_M, plus, "
14,10,1934,10,1,5,0,0,0,2,0,5,38,13,6,3,0,0,177,0,0,5,0,0,0,0,0,,,,,,,,258,"Broun_M, "
15,10,1934,9,1,9,0,0,0,3,0,3,52,11,4,1,0,0,166,1,0,4,0,0,0,0,0,,,,,,,,254,"Broun_M, Kramer, "
16,10,1934,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,1,"Broun_M, "
18,10,1934,9,1,1,0,0,0,1,0,11,466,12,0,1,0,0,40,0,2,0,0,0,0,0,0,,,,,,,,535,"Broun_M, Kramer, "
19,10,1934,9,3,1,0,0,0,0,0,0,64,6,1,6,0,0,105,1,0,0,0,0,0,0,0,,,,,,,,186,"Broun_M, Kramer, "
20,10,1934,9,1,1,0,0,0,1,0,0,12,2,2,2,0,0,29,1,0,0,0,1,0,0,0,,,,,,,,51,"Broun_M, "
21,10,1934,9,3,0,0,0,0,0,0,2,29,6,2,2,0,0,41,0,0,0,0,0,0,0,0,,,,,,,,82,"Broun_M, DlVOC, "
22,10,1934,9,2,0,0,0,0,0,0,1,63,2,0,0,0,0,52,0,0,1,0,0,0,1,0,,,,,,,,120,"Broun_M, Fry_Mrs, "
23,10,1934,9,1,3,0,0,0,2,0,2,99,26,6,5,0,0,427,0,0,0,0,0,0,1,0,,,,,,,,571,"Broun_M, "
24,10,1934,2,1,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,9,"Broun_M, "
25,10,1934,4,,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,9,"Broun_M, "
26,10,1934,4,1,0,0,0,0,0,0,2,3,1,0,0,0,0,14,0,0,0,0,0,0,0,0,,,,,,,,20,"Broun_M, "
27,10,1934,4,1,0,0,0,0,0,0,0,11,1,1,0,0,0,13,0,0,0,0,0,0,2,0,,,,,,,,28,"Broun_M, "
28,10,1934,9,2,0,0,0,0,0,0,0,11,1,0,2,0,0,188,0,0,0,2,0,0,1,0,,,,,,,,205,"Broun_M, DVOC, "
29,10,1934,8,1,0,0,0,0,0,0,0,7,1,0,0,0,0,251,0,0,0,1,0,0,0,0,,,,,,,,260,
30,10,1934,9,1,0,0,0,0,0,0,0,41,4,0,0,0,0,171,0,0,0,1,0,0,1,0,,,,,,,,218,
31,10,1934,7,1,1,0,0,0,0,0,2,21,0,0,4,0,0,148,0,0,0,0,0,0,0,0,,,,,,,,176,"Broun_M, "
