Date,ObsHrs,BV,TV,OS,BE,NH,SS,CH,NG,RS,BW,RT,RL,SW,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
8/15/1983,6.08,,,,,,,,,,,,,,,,,,,,,,,0
8/16/1983,2.67,,,,,,,,,,,,,,,,,,,,,,,0
8/17/1983,2.58,,,,,,,,,,,,,,,,,,,,,,,0
8/18/1983,2.75,,,,,1,,,,,1,,,,,,,,,,,,,2
8/19/1983,6.67,,,,,,2,,,,,,,,,3,,,,,,,,5
8/20/1983,8,,,,,,4,,,,1,2,,,,,,,,,,,,7
8/21/1983,5,,,,,,,,,,,,,,,,,,,,,,,0
8/22/1983,7,,,,,,6,,,,6,1,,,,1,,,,,1,,1,16
8/23/1983,2,,,,,,,,,,,,,,,,,,,,,,,0
8/24/1983,2,,,,,,,,,,,,,,,,,,,,,,,0
8/25/1983,1.5,,,,,,,,,,,,,,,,,,,,,,,0
8/26/1983,5.75,,,2,,,4,,,,,,,,,,,,,,,,,6
8/27/1983,6.5,,,,,2,40,,,,10,2,,,,5,,,,,,,,59
8/28/1983,6,,,1,,,7,,,,1,,,,,,,,,,,,,9
8/29/1983,4.75,,,,,1,2,,,,,,,,,1,,,,,,,1,5
8/30/1983,7.67,,,1,,,17,,,,15,3,,,,1,,,,,,,1,38
8/31/1983,6.75,,1,1,,2,22,,,,12,4,,,,5,,,,,,,1,48
9/1/1983,7,,,,,1,7,,,,2,,,,,1,,,,,,,,11
9/2/1983,5.17,,,,,,27,,,,3,5,,,,2,,,,,,,,37
9/3/1983,8.75,,,,,,12,,,,,1,,,,,,,,4,,,,17
9/4/1983,6.75,,,4,,,5,,,,3,1,,,,1,,,,,,,,14
9/5/1983,10,,2,7,,3,109,,,,45,8,,1,,8,,,,,,,,183
9/6/1983,9,,,3,,,35,,,,,2,,,,6,,,,,,,,46
9/7/1983,8.67,,3,25,,3,107,1,,,14,30,,,,6,,,3,,1,,,193
9/8/1983,9.5,,,2,,1,131,,,,13,2,,,,6,,,,,,,,155
9/9/1983,8,,,1,,,27,,,,,1,,,,1,,,,,,,1,31
9/10/1983,7,,,4,,6,74,,,,1,6,,,,9,1,,,,,,,101
9/11/1983,9,,1,6,3,3,133,,,,234,27,,,,11,,,,,1,,1,420
9/12/1983,9.58,,4,34,5,8,213,,,,7979,33,,,,22,1,,,,3,,,8302
9/13/1983,9.75,,2,5,,6,148,,,,1821,24,,,,14,1,,,,,,,2021
9/14/1983,7.75,,8,4,,1,85,,,,37,10,,,,9,,,,,,,3,157
9/15/1983,0,,,,,,,,,,,,,,,,,,,,,,,0
9/16/1983,9,,5,12,,3,133,1,,,10,4,,,,1,,,,,,,,169
9/17/1983,10,,1,11,2,1,152,,,,11,2,,,,9,,,,,,,,189
9/18/1983,9.5,,4,6,,6,405,1,,,1250,9,,,,12,3,,,,1,,,1697
9/19/1983,7.5,,,3,,2,104,,,,318,3,,,,3,,,,,,,2,435
9/20/1983,10.25,,52,5,1,6,412,1,2,,6558,40,,1,,24,,,1,,,,,7103
9/21/1983,10,,157,12,5,11,571,,2,,9579,68,,,,29,4,,,,1,,,10439
9/22/1983,9.5,,251,3,5,31,506,,7,,6230,100,,,,44,,1,,,,,,7178
9/23/1983,7.5,,49,4,6,4,432,1,1,,963,38,1,,,27,1,2,,1,,,,1530
9/24/1983,9,,12,4,,1,204,,1,,14,9,,,,39,3,1,,,1,,5,294
9/25/1983,10,,5,5,2,6,509,,,,695,29,,,,85,,1,,,,,2,1339
9/26/1983,9,,6,2,1,6,305,1,4,,26,136,3,,,44,2,1,1,,,,,538
9/27/1983,9.25,,1,2,,1,132,,1,,1,7,,,,4,1,1,,,,,,151
9/28/1983,9,,5,2,1,1,113,2,1,,4,3,,,,,1,1,,,,,,134
9/29/1983,6,,3,1,,2,65,1,,,,3,,,,1,1,,,,1,,,78
9/30/1983,0,,,,,,,,,,,,,,,,,,,,,,,0
10/1/1983,8.5,,8,,,2,40,1,,,,,,,,2,1,,,,,,,54
10/2/1983,9.25,,7,3,,3,74,1,,,2,3,,,,16,1,8,,,,,,118
10/3/1983,5.25,,,,,,,,,,,,,,,,,,,,,,,0
10/4/1983,9.75,,15,13,8,7,366,3,7,,14,70,9,,,8,4,1,,1,,,,526
10/5/1983,8.5,,70,1,3,13,409,,2,,7,125,10,,,22,2,1,,,,,3,668
10/6/1983,9.5,,719,1,16,10,871,1,10,,5,377,8,,,55,2,1,,,,,,2076
10/7/1983,0,,,,,,,,,,,,,,,,,,,,,,,0
10/8/1983,9.5,,22,2,6,2,237,,54,1,,527,24,,,17,1,,,,,,,893
